InputID,TargetID
H001p,H002p
H001p,H005p
H001p,H009a
H001p,H009p
H001p,H010p
H001p,H011p
H001p,H012p
H001p,H013p
H001p,H014p
H001p,I121p
H002p,H001p
H002p,H009p
H002p,H010p
H002p,H011p
H002p,H012p
H002p,H013p
H002p,H014p
H002p,I105p
H002p,I121p
H002p,I124p
H003p,H001p
H003p,H004p
H003p,H005p
H003p,H006p
H003p,H007p
H003p,H008p
H003p,H009a
H003p,H009p
H003p,H012p
H003p,H028p
H004p,H003p
H004p,H005p
H004p,H006p
H004p,H007p
H004p,H008p
H004p,H009a
H004p,H017p
H004p,H023p
H004p,H028p
H004p,H032p
H005p,H001p
H005p,H003p
H005p,H004p
H005p,H006p
H005p,H007p
H005p,H008p
H005p,H009a
H005p,H009p
H005p,H012p
H005p,H028p
H006p,H003p
H006p,H004p
H006p,H007p
H006p,H008p
H006p,H017p
H006p,H019p
H006p,H023p
H006p,H024p
H006p,H028p
H006p,H032p
H007p,H003p
H007p,H004p
H007p,H005p
H007p,H006p
H007p,H008p
H007p,H009a
H007p,H009p
H007p,H023p
H007p,H028p
H007p,H032p
H008p,H003p
H008p,H004p
H008p,H005p
H008p,H007p
H008p,H009a
H008p,H009p
H008p,H012p
H008p,H028p
H008p,H035p
H008p,H036p
H009a,H001p
H009a,H002p
H009a,H003p
H009a,H004p
H009a,H005p
H009a,H007p
H009a,H008p
H009a,H009p
H009a,H010p
H009a,H012p
H009p,H001p
H009p,H003p
H009p,H005p
H009p,H008p
H009p,H009a
H009p,H010p
H009p,H012p
H009p,H014p
H009p,H035p
H009p,H036p
H010p,H001p
H010p,H002p
H010p,H009a
H010p,H009p
H010p,H011p
H010p,H012p
H010p,H013p
H010p,H014p
H010p,H036p
H010p,I121p
H011p,H001p
H011p,H002p
H011p,H010p
H011p,H012p
H011p,H013p
H011p,H014p
H011p,I121p
H011p,I122p
H011p,I124p
H011p,I152p
H012p,H001p
H012p,H008p
H012p,H009a
H012p,H009p
H012p,H010p
H012p,H011p
H012p,H013p
H012p,H014p
H012p,H036p
H012p,H039p
H013p,H001p
H013p,H002p
H013p,H010p
H013p,H011p
H013p,H012p
H013p,H014p
H013p,H041p
H013p,I121p
H013p,I124p
H013p,I152p
H014p,H010p
H014p,H011p
H014p,H012p
H014p,H013p
H014p,H036p
H014p,H040p
H014p,H041p
H014p,I121p
H014p,I124p
H014p,I152p
H015p,H016p
H015p,H018p
H015p,H044p
H015p,H045p
H015p,H046p
H015p,H048p
H015p,H050p
H015p,H053p
H015p,H057p
H015p,H060p
H016p,H006p
H016p,H015p
H016p,H017p
H016p,H018p
H016p,H019p
H016p,H023p
H016p,H024p
H016p,H053p
H016p,H054p
H016p,H057p
H017p,H004p
H017p,H006p
H017p,H016p
H017p,H018p
H017p,H019p
H017p,H023p
H017p,H024p
H017p,H028p
H017p,H054p
H017p,H057p
H018p,H015p
H018p,H016p
H018p,H017p
H018p,H019p
H018p,H023p
H018p,H024p
H018p,H053p
H018p,H054p
H018p,H057p
H018p,H060p
H019p,H006p
H019p,H016p
H019p,H017p
H019p,H018p
H019p,H023p
H019p,H024p
H019p,H028p
H019p,H054p
H019p,H057p
H019p,H063p
H023p,H004p
H023p,H006p
H023p,H007p
H023p,H016p
H023p,H017p
H023p,H019p
H023p,H024p
H023p,H028p
H023p,H032p
H023p,H054p
H024p,H006p
H024p,H017p
H024p,H018p
H024p,H019p
H024p,H023p
H024p,H028p
H024p,H032p
H024p,H054p
H024p,H063p
H024p,H064p
H028p,H004p
H028p,H006p
H028p,H007p
H028p,H008p
H028p,H019p
H028p,H023p
H028p,H024p
H028p,H032p
H028p,H063p
H028p,H065p
H032p,H006p
H032p,H007p
H032p,H008p
H032p,H023p
H032p,H024p
H032p,H028p
H032p,H035p
H032p,H063p
H032p,H065p
H032p,H066p
H035p,H008p
H035p,H009p
H035p,H012p
H035p,H032p
H035p,H036p
H035p,H039p
H035p,H040p
H035p,H065p
H035p,H068p
H035p,H069p
H036p,H008p
H036p,H009p
H036p,H012p
H036p,H013p
H036p,H014p
H036p,H035p
H036p,H039p
H036p,H040p
H036p,H068p
H036p,H069p
H039p,H012p
H039p,H014p
H039p,H035p
H039p,H036p
H039p,H040p
H039p,H065p
H039p,H068p
H039p,H069p
H039p,H071p
H039p,H072p
H040p,H014p
H040p,H035p
H040p,H036p
H040p,H039p
H040p,H041p
H040p,H068p
H040p,H069p
H040p,H071p
H040p,I152p
H040p,I153p
H041p,H013p
H041p,H014p
H041p,H040p
H041p,H069p
H041p,I121p
H041p,I124p
H041p,I152p
H041p,I153p
H041p,I154b
H041p,I184p
H042p,H043p
H042p,H049p
H042p,H051p
H042p,H076p
H042p,H081a
H042p,H081p
H042p,H082p
H042p,H084p
